Аварийность,Адрес,Безопасность,Газоснабжение,Год постройки,Жилая,Инфраструктура,Кухня,Лифты,Метро 0,Метро 1,Метро 2,Мусоропровод,Название,Общая,Отопление,Отрицательное соседство,Парковка,Подъезды,Положительное соседство,Построен,Срок сдачи,Строительная серия,Тип дома,Тип перекрытий,Транспорт,Цена,Цена за квадрат,Экология,Этаж
,"Московская область, Щелково городской округ, Большие Жеребцы деревня, Восточный микрорайон, Восточная Европа жилой комплекс, к6",,,,15 м²,,12 м²,1 грузовой, ⋅  30 мин. на транспорте,,,,"1-комн. квартира, 37,4 м²","37,4 м²",,,Наземная,,,2017,,,,,,2050000,54 813,,3 из 5
Нет,"Москва, ЮВАО, р-н Лефортово, Солдатский пер., 10",,,2016,"40,2 м²",,"18,5 м²",Нет, ⋅  15 мин. пешком, ⋅  25 мин. пешком, ⋅  25 мин. пешком,Нет,"2-комн. квартира, 82 м²",82 м²,Центральное,,Подземная,4,,,,,Монолитный,Железобетонные,,17600000,214 634,,5 из 17
,"Москва, ВАО, р-н Восточное Измайлово, 12-я Парковая ул., 5",,,,,,,1 пассажирский, ⋅  8 мин. пешком,,,,"1-комн. апартаменты, 33,1 м²","33,1 м²",,,Наземная,,,,,,,,,5759400,174 000,,2 из 5
,"Москва, ЦАО, р-н Пресненский, Краснопресненская наб., 14С1",,,,145 м²,,20 м²,"4 пассажирских, 2 грузовых", ⋅  7 мин. пешком, ⋅  13 мин. пешком, ⋅  18 мин. пешком,,"5-комн. квартира, 171 м²",171 м²,,,Подземная,,,,,,,,,134000000,783 626,,18 из 65
,"Москва, ЮВАО, р-н Лефортово, Душинская ул., 16",,,,"47,4 м²",,"18,4 м²","2 пассажирских, 1 грузовой", ⋅  10 мин. пешком, ⋅  23 мин. пешком, ⋅  24 мин. пешком,,"2-комн. квартира, 86,8 м²","86,8 м²",,,Подземная,,,2018,,,,,,15990000,184 217,,14 из 21
,"Москва, ВАО, р-н Восточное Измайлово, 12-я Парковая ул., 5",,,,,,,1 пассажирский, ⋅  8 мин. пешком,,,,"1-комн. апартаменты, 30,7 м²","30,7 м²",,,Наземная,,,,,,,,,5435200,177 042,,3 из 5
,"Москва, ВАО, р-н Восточное Измайлово, 12-я Парковая ул., 5",,,,,,,1 пассажирский, ⋅  8 мин. пешком,,,,"1-комн. апартаменты, 47,6 м²","47,6 м²",,,Наземная,,,,,,,,,8782200,184 500,,4 из 5
,"Москва, СВАО, р-н Северный, Дмитровское ш., 122Гк1",,,,,,,Нет, ⋅  15 мин. на транспорте,,,Нет,"2-комн. квартира, 73 м²",73 м²,,,Наземная,,,,,,,,,12259380,167 937,,4 из 4
,"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 8",,,,,,,"3 пассажирских, 1 грузовой", ⋅  9 мин. на транспорте, ⋅  6 мин. на транспорте, ⋅  10 мин. на транспорте,,"Квартира свободной планировки, 356 м²",356 м²,,,Подземная,,,2011,,,Монолитный,,,165000000,463 483,,44 из 53
,"Москва, ЦАО, р-н Тверской, 2-я Брестская ул., 6",,,,30 м²,,,, ⋅  2 мин. пешком, ⋅  10 мин. пешком,,,"1-комн. апартаменты, 37 м²",37 м²,,,,,,,4 кв. 2018,,,,,14500000,391 892,,10 из 12
,"Москва, ЦАО, р-н Пресненский, Средний Тишинский пер., 5/7С1",,,,"49,2 м²",,"23,6 м²","1 пассажирский, 2 грузовых", ⋅  10 мин. пешком, ⋅  2 мин. на транспорте, ⋅  5 мин. на транспорте,,"2-комн. квартира, 92,5 м²","92,5 м²",,,Подземная,,,,2 кв. 2021,,,,,55679450,601 940,,16 из 18
